ItemID,subcat_comercial,salado,dulce,frio,caliente,harina,carne,familiar,individual,bebestible,hojas,lacteo,alcohol
1,map,1,0,0,1,1,1,0,1,0,0,0,0
2,panaderia,1,0,1,1,0,1,0,1,0,0,0,0
3,bolleria,0,1,1,1,1,0,0,1,0,0,1,0
4,gaseosa,0,0,1,0,0,0,0,1,1,0,0,0
5,empanadita,1,0,0,1,1,1,1,0,0,0,0,0
6,barquillo,0,1,1,0,1,0,0,1,0,0,1,0
7,plato_liviano,1,0,1,1,0,0,0,0,0,1,0,0
8,empanada_individual,1,0,0,1,1,1,0,1,0,0,0,0
10,ensalada,1,0,1,0,0,0,0,1,0,1,0,0
11,jugo,0,1,1,0,0,0,0,1,1,0,0,0
12,agua,0,0,1,0,0,0,0,1,1,0,0,0
13,yoghurt,0,1,1,0,0,0,0,1,0,0,1,0
14,sopas,1,0,0,1,0,0,0,1,0,1,0,0
15,lasana,1,0,0,1,1,1,1,1,0,0,1,0
16,galletas_saladas,1,0,1,0,1,0,0,1,0,0,0,0
18,helado,0,1,1,0,0,0,1,1,1,0,1,0
19,queso,1,0,1,0,0,0,1,1,0,0,1,0
20,alfajor,0,1,1,0,1,0,0,1,0,0,1,0
21,map_familiar,1,0,0,1,1,1,1,0,0,1,0,0
22,sandwich,1,0,1,1,1,1,0,1,0,1,1,0
24,postre_individual,0,1,1,0,0,0,0,1,0,0,1,0
25,jamon,1,0,1,0,0,1,1,1,0,0,0,0
26,charcuteria,1,0,1,0,0,1,1,1,0,0,0,0
27,barra_de_cereal,0,1,1,0,0,0,0,1,0,0,0,0
28,dip,1,0,1,0,0,0,1,1,0,0,1,0
29,quiche,1,0,0,1,1,1,0,1,0,1,1,0
31,kombucha,0,0,1,0,0,0,0,1,1,0,0,1
33,pizza,1,0,0,1,1,1,1,1,0,0,1,0
34,postre_familiar,0,1,1,0,0,0,1,0,0,0,1,0
35,chocolate,0,1,1,0,0,0,1,1,0,0,1,0
36,frutos_secos,1,0,1,0,0,0,1,1,0,0,0,0
37,galleta_dulce,0,1,1,0,1,0,1,1,0,0,0,0
38,queso_laminado,1,0,1,1,0,0,1,1,0,0,1,0
39,pasteleria_familiar,0,1,1,0,1,0,1,0,0,0,1,0
41,salame,1,0,1,0,0,1,1,1,0,0,0,0
43,caluga,0,1,1,0,0,0,0,1,0,0,1,0
44,impulso_salado,1,0,1,0,1,0,0,1,0,0,1,0
47,mantequilla,1,0,1,1,0,0,1,0,0,0,1,0
48,cocktail_congelado,1,0,0,1,1,1,1,0,0,0,1,0
52,complementos_dulces,0,1,1,0,0,0,0,0,0,0,1,0
57,barras,0,1,1,0,0,0,0,1,0,0,0,0
58,familiar_congelado,1,0,0,1,1,1,1,0,0,0,1,0
